TraitID,Trait
852,Coarse woody debris (CWD) branch: magnesium (Mg) content per branch CWD dry mass
853,Coarse woody debris (CWD) branch: manganese (Mn) content per branch CWD dry mass
854,Coarse woody debris (CWD) branch: nitrogen (N) content per branch CWD dry mass
855,Coarse woody debris (CWD) branch: phosphorus (P) content per branch CWD dry mass
856,Coarse woody debris (CWD) branch: potassium (K) content per branch CWD dry mass
857,Coarse woody debris (CWD) branch: rot type
858,Coarse woody debris (CWD) branch: sodium (Na) content per branch CWD dry mass
859,Coarse woody debris (CWD) branch: sulfur (S) content per branch CWD dry mass
860,Coarse woody debris (CWD) branch: zinc (Zn) content per branch CWD dry mass
861,Branch number of secondary branches at first branching
862,Branch number per height along the shoot axis
863,Branch phosphorus (P) content per branch dry mass 
864,Branch potassium (K) content per branch dry mass
865,Budbank seasonality
867,Coarse woody debris (CWD): calcium (Ca) content per CWD dry mass
868,Coarse woody debris (CWD): carbon (C) content per CWD dry mass
869,Coarse woody debris (CWD): decomposition rate
871,Coarse woody debris (CWD): density
874,Coarse woody debris (CWD): magnesium (Mg) content per CWD dry mass
875,Coarse woody debris (CWD): manganese (Mn) content per CWD dry mass
876,Coarse woody debris (CWD): nitrogen (N) content per CWD dry mass
878,Coarse woody debris (CWD): phosphorus (P) content per CWD dry mass
879,Coarse woody debris (CWD): potassium (K) content per CWD dry mass
882,Coarse woody debris (CWD): sodium (Na) content per CWD dry mass
885,Cone (strobilus) diameter
886,Cone (strobilus) length
887,"Litter (cone, strobilus) nitrogen (N) content per dry mass"
888,Cone (strobilus) dry mass
889,Crown (canopy) base height (ground to base)
890,Dispersal frequenzy
891,Dispersal probability
892,Dispersal unit appendages
893,Dispersal unit exposure 
894,Dispersal unit surface structure
896,Fine root diameter
897,Litter (fine root) calcium (Ca) content per fine root litter dry mass
898,Litter (fine root) carbon (C) content per fine root litter dry mass
899,Litter (fine root) carbon/nitrogen (C/N) ratio
900,Litter (fine root) cellulose content per fine root litter dry mass
901,Litter (fine root) decomposition rate
902,Litter (fine root) decomposition rate constant
903,Litter (fine root) hemicellulose content per fine root litter dry mass
904,Litter (fine root) lignin content per fine root litter dry mass
905,Litter (fine root) lignin/nitrogen (lignin/N) ratio
906,Litter (fine root) magnesium (Mg) content per fine root litter dry mass
907,Litter (fine root) manganese (Mn) content per fine root litter dry mass
908,Litter (fine root) nitrogen (N) content per fine root litter dry mass
909,Litter (fine root) phosphorus (P) content per fine root litter dry mass
910,Litter (fine root) potassium (K) content per fine root litter dry mass
911,Litter (fine root) sodium (Na) content per fine root litter dry mass
912,Litter (fine root) sulfur (S) content per fine root litter dry mass
913,Flower corolla length
914,Flower heteromorphy
915,"Flower sexual syndrome (dichogamy, cleistogamy, dioecious, monoecious)"
916,Plant fragmentation
917,Fruit diameter
918,Fruit length
919,Fruit mass
920,Inflorescence diameter at base
921,Inflorescence diameter at top
922,Inflorescence nectar volume
923,Inflorescence percentage of flowers open
924,Inflorescence position at the shoot axis
926,Leaf area index (LAI) of a single plant
927,Leaf area total at given shoot height 
928,Leaf area-specific conductivity (leaf specific conductivity)
929,Leaf aromatic
930,Leaf contact angle of water droplets 
931,Leaf display type
932,Leaf distribution along the shoot axis (number)
933,Leaf dry mass loss during leaf senescence
934,Leaf floating capacity 
935,Leaf herbivore species
936,Leaf heterophylly
937,Leaf isoprene emission category
938,Leaf isoprene emission rate per leaf area
939,Leaf isoprene emission rate per leaf dry mass
940,Leaf length excluding petiole (leaf lamina length)
943,Litter (leaf) calcium (Ca) content per leaf litter dry mass
944,Litter (leaf) carbon (C) content per leaf litter dry mass
945,Litter (leaf) carbon/nitrogen (C/N) ratio
946,Litter (leaf) cellulose content per leaf litter dry mass
947,Litter (leaf) copper (Cu) content per leaf litter dry mass
948,Litter (leaf) decomposition rate
949,Litter (leaf) decomposition rate constant
950,Litter (leaf) iron (Fe) content per leaf litter dry mass
951,Litter (leaf) lignin content per leaf litter dry mass
952,Litter (leaf) magnesium (Mg) content per leaf litter dry mass
953,Litter (leaf) manganese (Mn) content per leaf litter dry mass
954,Litter (leaf) nitrogen (N) content per leaf litter dry mass
956,Litter (leaf) phenols content per leaf litter dry mass
957,Litter (leaf) phosphorus (P) content per leaf litter dry mass
958,Litter (leaf) potassium (K) content per leaf litter dry mass
959,Litter (leaf) protein content per leaf litter dry mass
960,Litter (leaf) sodium (Na) content per leaf litter dry mass
961,Litter (leaf) sulfur (S) content per leaf litter dry mass
962,Litter (leaf) zinc (Zn) content per leaf litter dry mass
963,Leaf margin type
964,Leaf mesophyll conductance
965,Leaf volatile organic carbon (VOC): monoterpene emission category
966,Leaf volatile organic carbon (VOC): monoterpene emission rate per leaf area
967,Leaf volatile organic carbon (VOC): monoterpene emission rate per leaf dry mass
968,Leaf nitrogen (N) fraction in ammonium (NH4+)
969,Leaf nitrogen (N) fraction in N2
970,Leaf nitrogen (N) fraction in nitrate (NO3-)
971,Leaflet number of first order per leaf
972,Leaflet number of second order per leaf
973,Leaf petiole projected area
974,Leaf photosynthesis rate per leaf area: transition to TPU limited photosynthesis
975,Leaf revolute or involute
976,Leaf secondary compound types
977,Leaf sheath length
978,Leaf shrinkage
979,Leaf surface pattern type
980,Leaf surface waxiness
981,Leaf transpiration rate per leaf dry mass
982,Leaf relative water content (leaf water content fresh / leaf water content saturated; RWC)
983,Leaf water & osmotic potential: leaf water potential
984,Leaf water saturation deficit
985,Leaflet length
986,Leaflet width
987,Litter aluminium (Al ) content per litter dry mass
988,Litter antimony (Sb) content per litter dry mass
989,Litter arsenic (As) content per litter dry mass
990,Litter cadmium (Cd) content per litter dry mass
991,Litter calcium (Ca) content per litter dry mass
992,Litter chromium (Cr) content per litter dry mass
993,Litter copper (Cu) content per litter dry mass
994,Litter decomposition rate constant 
995,Litter iron (Fe) content per litter dry mass
996,Litter lead (Pb) content per litter dry mass
997,Litter magnesium (Mg) content per litter dry mass
998,Litter mercury (Hg) content per litter dry mass
999,Litter molybdenium (Mo) content per litter dry mass
1000,Litter nickel (Ni) content per litter dry mass
1001,Litter nitrogen (N) isotope signature (delta 15N)
1002,Litter phenols content per litter dry mass
1003,Litter potassium (K) content per litter dry mass
1004,Litter sodium (Na) content per litter dry mass
1005,Litter sulfur (S) content per litter dry mass
1006,Litter titanium (Ti) content per litter dry mass
1007,Litter zinc (Zn) content per litter dry mass
1008,Plant vegetative regeneration species offspring size relative to parent
1010,Leaf petiole dry mass per petiole fresh mass (leaf petiole dry matter content; PDMC)
1011,Leaf petiole projected area per petiole dry mass (specific leaf area (SLA) of leaf petiole)
1012,Leaf photosynthesis photoperiodism: threshold value
1013,Leaf photosynthesis photoperiodism: type
1014,Plant above ground hydraulic conductance
1015,Plant height growth relative to diameter growth
1016,Plant height versus plant width relationship
1017,Plant tree allometry model parameters
1019,Coarse root to fine root mass ratio
1020,Plant biomass and allometry: Ccone (strobilus) dry mass per plant
1021,Plant carbon/nitrogen (C/N) ratio
1022,Species genotype: genome size
1023,Plant containing salt glands
1024,"Plant dead organ retainment: leaves, branches, flowers"
1025,Plant diameter of leaf rosette
1026,Plant dry mass height distribution
1027,Plant exposure
1028,Plant harvest index: diametral quotient
1029,Plant mono/poly carpic
1030,Mycorrhizal infection intensity
1031,Plant biomass and allometry: Inflorescences per plant
1032,"Plant biomass and allometry: Leaves per plant (emergent, mature, senescent)"
1033,Plant biomass and allometry: Reproductive organs per plant
1034,Plant biomass and allometry: Shoots per plant
1035,Plant ontogeny: time to emergence
1036,Plant ontogeny: time to first leaf
1038,Species tolerance to heavy metals
1039,Species tolerance to nitrogen inputs
1040,Species tolerance to soil aluminium concentration
1041,Species tolerance to temperature
1042,Pollen diameter
1043,Pollen heteromorphy
1044,Pollen viability
1046,Plant biomass and allometry: Reproductive dry mass per plant dry mass (reproductive weight fraction)
1047,Rhizome (presence / absence)
1048,Plant biomass and allometry: Rhizome dry mass per plant dry mass (rhizome weight fraction)
1049,Root aluminium (Al) content per root dry mass
1050,Root antimony (Sb) content per root dry mass
1051,Root arsenic (As) content per root dry mass
1053,Root cadmium (Cd) content per root dry mass
1054,Root calcium (Ca) content per root dry mass
1055,Root carbon/nitrogen (C/N) ratio
1056,Root chromium (Cr) content per root dry mass
1057,Coarse woody debris (CWD) root: calcium (Ca) content per coarse root CWD dry mass
1058,Coarse woody debris (CWD) root: carbon (C) content per coarse root CWD dry mass
1059,Coarse woody debris (CWD) root: carbon/nitrogen (C/N) ratio
1060,Coarse woody debris (CWD) root: cellulose content per coarse root CWD dry mass
1061,Coarse woody debris (CWD) root: decomposition rate
1062,Coarse woody debris (CWD) root: decomposition rate constant
1063,Coarse woody debris (CWD) root: density
1064,Coarse woody debris (CWD) root: lignin content per coarse root CWD dry mass
1065,Coarse woody debris (CWD) root: lignin/nitrogen (lignin/N) ratio
1066,Coarse woody debris (CWD) root: magnesium (Mg) content per coarse root CWD dry mass
1067,Coarse woody debris (CWD) root: manganese (Mn) content per coarse root CWD dry mass
1068,Coarse woody debris (CWD) root: phosphorus (P) content per coarse root CWD dry mass
1069,Coarse woody debris (CWD) root: potassium (K) content per coarse root CWD dry mass
1070,Coarse woody debris (CWD) root: rot type
1071,Coarse woody debris (CWD) root: sodium (Na) content per coarse root CWD dry mass
1072,Coarse woody debris (CWD) root: wood fraction
1073,Coarse woody debris (CWD) root: zinc (Zn) content per coarse root CWD dry mass
1074,Root copper (Cu) content per root dry mass
1075,Root root hair length
1076,Root root hair presence
1077,Root iron (Fe) content per root dry mass
1078,Root lead (Pb) content per root dry mass
1079,Root length
1080,"Root length per root dry mass (specific root length, SRL)"
1081,Root magnesium (Mg) content per root dry mass
1082,Root mercury (Hg) content per root dry mass
1083,Root molybdenum (Mo) content per root dry mass
1084,Root nickel (Ni) content per root dry mass
1085,"Root persistence (lifespan, longevity)"
1086,Root potassium (K) content per root dry mass
1087,Root sodium (Na) content per root dry mass
1088,Root sulfur (S) content per root dry mass
1089,Root surface area per root dry mass (specific root area)
1090,Root titanium (Ti) content per root dry mass
1091,Root volume per root dry mass 
1092,Root zinc (Zn) content per root dry mass
1093,Root position along clonal growth organ
1094,Wood (sapwood) biomass per ground area
1095,Wood (sapwood) cross-sectional area
1096,Wood (sapwood) specific conductivity (stem specific conductivity)
1097,Wood (sapwood) water content
1098,Wood (sapwood) water storage capacity
1099,Seed area
1100,Plant recruitment efficiency
1101,Seed germinability group
1102,Seed germination type
1103,Seed number per flower
1104,"Seed number per inflorescence (total, fertile, infertile)"
1105,Seed number per square meter
1106,Seed number per stem
1107,Seed releasing height
1108,Seed structure type
1109,Seed viability
1110,Seed or fruit biomass per ground area
1111,Seedbank density
1112,Seed presence or absence
1113,Shoot aluminium (Al) content per shoot dry mass
1114,Shoot branching density
1115,Shoot carbon (C) isotope signature (delta 13C)
1116,Shoot cellulose content per shoot dry mass
1117,Shoot copper (Cu) content per shoot dry mass
1118,Shoot cyclicity
1119,Shoot fresh mass
1120,Shoot fresh mass per shoot dry mass
1121,Shoot hemicellulose content per shoot dry mass
1122,Shoot lignin content per shoot dry mass
1123,Shoot branching number
1124,Shoot nickel (Ni) content per shoot dry mass
1125,Shoot nitrogen (N) isotope signature (delta 15N)
1126,Shoot organic nitrogen (N) content per shoot dry mass
1127,Shoot sodium (Na) content per shoot dry mass
1128,Shoot sulfur (S) content per shoot dry mass
1129,Shoot zinc (Zn) content per shoot dry mass
1130,Species environmental indicator value according to Ellenberg: continentality
1131,Species environmental indicator value according to Ellenberg: light
1132,Species environmental indicator value according to Ellenberg: moisture
1133,Species environmental indicator value according to Ellenberg: nitrogen
1134,Species environmental indicator value according to Ellenberg: pH 
1135,Species environmental indicator value according to Ellenberg: salt tolerance
1136,Species environmental indicator value according to Ellenberg: temperature
1137,Species generation overlap
1138,Species nutrient requirements
1139,Species occurrence rang: typical abundance where naturally occurring
1140,Species occurrence range characteristics
1141,Species occurrence range: elevation range
1142,Species soil pH requirement
1143,Species sex: monoecious or dioecious
1144,Species soil moisture requirements
1145,Species status (nativity at growth location)
1146,Species start of CGO formation versus reproduction
1147,Coarse woody debris (CWD) stem: acetals content per stem CWD
1148,Coarse woody debris (CWD) stem: alkyls content per stem CWD
1149,Coarse woody debris (CWD) stem: aluminium (Al) content per stem CWD
1150,Coarse woody debris (CWD) stem: aromatic content per stem CWD
1151,Coarse woody debris (CWD) stem: bark fraction
1152,Coarse woody debris (CWD) stem: calcium (Ca) content per stem CWD
1153,Coarse woody debris (CWD) stem: carbon (C) content per stem CWD
1154,Coarse woody debris (CWD) stem: carbon/nitrogen (C/N) ratio
1155,Coarse woody debris (CWD) stem: carboxyls content per stem CWD
1156,Coarse woody debris (CWD) stem: cellulose content per stem CWD
1157,Coarse woody debris (CWD) stem: decomposition rate
1158,Coarse woody debris (CWD) stem: decomposition rate constant
1159,Coarse woody debris (CWD) stem: iron (Fe) content per stem CWD
1160,Coarse woody debris (CWD) stem: lignin content per stem CWD
1161,Coarse woody debris (CWD) stem: lignin/nitrogen ratio
1162,Coarse woody debris (CWD) stem: magnesium (Mg) content per stem CWD
1163,Coarse woody debris (CWD) stem: manganese (Mn) content per stem CWD
1164,Coarse woody debris (CWD) stem: N-alkyl content per stem CWD
1165,Coarse woody debris (CWD) stem: nitrogen (N) content per stem CWD
1166,Coarse woody debris (CWD) stem: O-alkyl content per stem CWD
1167,Coarse woody debris (CWD) stem: pH
1168,Coarse woody debris (CWD) stem: phenols content per stem CWD
1169,Coarse woody debris (CWD) stem: phosphorus (P) content per stem CWD
1170,Coarse woody debris (CWD) stem: potassium (K) content per stem CWD
1171,Coarse woody debris (CWD) stem: protein content per stem CWD
1172,Coarse woody debris (CWD) stem: rot type
1173,Coarse woody debris (CWD) stem: sodium (Na) content per stem CWD
1174,Coarse woody debris (CWD) stem: sulfur (S) content per stem CWD
1175,Coarse woody debris (CWD) stem: wood fraction
1176,Stem color
1177,Stem conduit length
1181,"Stem dry mass per stem fresh mass (stem dry matter content, StDMC)"
1182,Stem form (stem cross-sectional type)
1183,Stem heartwood biomass per ground area
1184,Stem latex production
1186,Shoot length to first flower
1187,Stem longevity
1188,Stem self-supporting
1189,Stem surface patterning
1190,Stomata length
1191,Stomata surface area
1192,Stomata width
1193,Tiller density: number of tiller per ground area
1194,Tillering type
1195,Wood xylem torus diameter
1196,Wood xylem torus diameter per outer pit apertuer diameter
1197,Wood xylem torus thickness
1198,Wood total interconduit pit (membrane) surface area
1199,Litter twig nitrogen (N) content per twig dry mass
1200,Twig diameter
1201,Twig (branch smaller 2cm) dry mass
1202,Twig length
1203,Twig (branch smaller 2cm) number of leaves per twig
1204,"Stem dry mass per stem fresh volume (stem specific density, SSD, Wood density) Twigs and branches sm"
1205,Wood vessels surrounded by tracheids (vasicentric tracheids)
1206,Plant vegetative reproduction: pattern forming
1207,Plant vegetative reproduction: spread distance 
1208,Vessel cell wall thickness per vessel diameter 
1209,Vessel grouping index
1210,Wood vestures presence
1211,Wood axial parenchyma types
1212,Wood canals types
1213,Wood carbon (C) isotope signature (delta 13C)
1214,Wood conduit pit fraction
1215,Wood conduit pit membrane thickness
1216,Wood fiber cell wall thickness
1217,Wood fiber septate fibers present
1218,Wood fiber tension wood present
1219,Wood fiber-band types
1220,Wood fiber-pits types
1221,Wood fibers absent
1222,"Wood fibers absent in the center, present at the periphery of the stem"
1223,Wood fibers not lignified
1224,Wood intervessel contact fraction
1225,Wood intervessel or intertracheid cell wall thickness
1226,"Wood mechanical property: flexual stiffness, elasticity, rupture"
1229,Wood nitrogen (N) content per wood dry mass
1230,Wood nitrogen (N) isotope signature (delta 15N)
1231,Wood outer pit aperture diameter
1232,Wood outer pit aperture diameter / interconduit pit size
1233,Stem pith type
1234,Wood ray types
1235,Wood storied tissue types
1236,Wood vessel cell-wall thickness
1237,Wood vessel density
1238,Wood vessel diameter
1239,Wood vessel distribution
1240,Wood vessel intervessel pits
1241,Wood vessel tyloses with thin walls
1243,Wood vessel vestured pits
1244,Wood vessel-ray pits
1245,Wood vessel-walls not lignified
1246,"Wood vessel: dark staining substances in vessels and/or fibers (gum, tannins)"
1250,Species yield power class
1251,Plant vegetative phenology (leaf phenology)
1252,Litter carbon (C) isotope signature (delta 13C)
1253,Leaf magnesium (Mg) content per leaf area 
1254,Species tolerance to salt
1255,"Shoot emergences (pubescence, hairs, spines, thorns)"
1256,"Stem emergences (pubescence, hairs, spines, thorns)"
1257,Inflorescence nectar sugar concentration
1258,Leaf water transport system type
1259,Coarse woody debris (CWD) stem: zinc (Zn) content per stem CWD
1260,Wood carbon/nitrogen (C/N) ratio
1261,Stem circumference
1262,Coarse woody debris (CWD) root: nitrogen (N) content per coarse root CWD dry mass
1263,Dispersal unit floating capacity
1264,Leaf petiole specific length (petiole length per petiole dry mass)
1265,Stomata conductance at nighttime
1266,Leaf respiration intercellular CO2 concentration at nighttime
1267,Leaf transpiration rate at nighttime
1268,Seed lift-off velocity
1269,Root manganese (Mn) content per root dry mass
1270,Root silicon (Si) content per root dry mass
1271,Root phenols content per root dry mass
1278,Root stele fraction: stele diameter divided by root diameter
1279,Root stele diameter
1280,Root cross-sectional fraction of stele area to root area
1281,Root fraction of metaxylem cell wall thickness to vessel diameter
1282,Root fraction of protoxylem cell wall thickness to vessel diameter
1283,Root number of tracheary elements per crossection
1285,Root xylem vessel density in stele: number of xylem vessels per square millimeter of root stele
1286,Root metaxylem vessel diameter
1287,Root conduit diameter
1288,Root protoxylem vessel diameter
1289,Root metaxylem cell wall thickness
1290,Root protoxylem cell wall thickness
1298,"Root tips per root dry mass (specific root tip abundance, SRTA)"
1301,Root link length (segments between two nodes or a node and a tip)
1306,Root tips per ground area
1307,Plant biomass and allometry: Root tips per plant
1308,Root tips per soil volume
1310,Root cellulose carbon (C) per root carbon (C) content
1311,Root hemicellulose carbon (C) per root carbon (C) content
1312,Root hemicellulose content per root dry mass
1315,Root nitrogen (N) content per root length
1316,Root organic nitrogen (N) content per root dry mass
1318,Root boron (B) content per root dry mass
1321,Root ash carbon (C) content per root carbon (C) content
1324,Root ash content per root dry mass
1331,Root lignin carbon (C) content per root carbon (C) content
1336,Root carbon (C) content not hydrolyzable in acid extractives per root carbon (C) content
1341,Root polyphenol content per root dry mass
1343,Root structural carbon (C) content per root carbon (C) content
1345,Root lipid content per root dry mass
1356,Root ratio of lignin to nitrogen (N)
1357,Root ratio of organic nitrogen (N) to total N
1358,Root ratio of polyphenol to nitrogen (N)
1361,Root non-structural carbon (C) content per root carbon (C) content
1367,Root decomposition: fraction of root dry mass not decomposed to original root dry mass
1372,Root lifespan: fraction of roots that live to the age in “root age”
1375,Root lifespan: fraction of root tips that survive after one year
1379,Root mortality: root dry mass mortality per ground area and time
1389,Root length relative growth rate
1390,Root growth: root carbon (C) production per ground area and time
1391,Root growth: root dry mass production per ground area per year
1392,Root growth: root dry mass production per ground area per month
1393,Root growth: root dry mass production per ground area per duration of exposition
1394,Root growth: root dry mass production per ground area per day
1400,Root growth: root length production per ground area per exposition period
1401,Root growth: root length production per ground area per year
1407,Root growth: amplitude of monthly net root production
1408,Root growth: probability that monthly net root production is greater than 0
1410,Root growth rate: fine root length production per day per coarse root length
1411,Root growth rate: fine root dry mass production per day per coarse root length
1413,Root growth: root surface area produced per ground area per year
1414,Root growth: root surface area produced per ground area per exposition period
1417,Root dry mass turnover
1418,Root dry mass turnover rate
1422,Mycorrhiza: length of arbuscular mycorrhizal (AM) hyphae per soil dry mass
1423,Mycorrhiza: dry mass of external ectomycorrhizal mycelium (EEM) in soil per ground area
1424,Mycorrhiza: fraction of mycorrhizae on roots that are of the contact exploration type
1425,Mycorrhiza: fraction of mycorrhizae on roots that are of the long-distance exploration type
1426,Mycorrhiza: fraction of mycorrhizae on roots that are of the medium-distance exploration type
1427,Mycorrhiza: fraction of mycorrhizae on roots that are of the short-distance exploration type
1428,Mycorrhiza: fraction of mycorrhizal tips that are living
1429,Mycorrhizal colonization: fraction of root tips that contain mycorrhizal structures
1430,Mycorrhizal colonization AM: fraction of root length that contains arbuscular mycorrhizal structures
1431,Mycorrhizal colonization EM: fraction of root length colonized by ectomycorrhizal structure
1432,Mycorrhizal colonization: fraction of root length that contains hyphae
1433,Mycorrhizal colonization: classified fractions of root length that contain mycorrhizae
1434,Mycorrhizal colonization: number of colonized root tips per root branch length
1435,"Mycorrhizal colonization: fraction of root length with mycorrhizla hyphae, arbuscules, or vesicles"
1436,Mycorrhiza fungi: concentration of arbuscular mycorrhizal spores in soil
1437,Root microbial relations: nodule dry mass on living roots per ground area
1438,Root microbial relations: nodule dry mass on dead roots per ground area
1439,Root microbial relations: root glucosamine content per root dry mass
1440,Root muramic acid content per root dry mass
1441,Root microbial relations: root microbial biomass carbon (C) content per root dry mass
1442,Root microbial relations: root microbial biomass nitrogen (N) content per root dry mass
1443,Root microbial relations: root fungal biomass carbon (C) content per root dry mass
1444,Root microbial relations: root bacterial biomass carbon (C) content per root dry mass
1445,Root microbial relations: ratio of root fungal carbon (C) to root bacterial carbon
1446,Root microbial relations: ratio of fungal rRNA gene copy number to bacterial rRNA gene copy number
1447,Mycorhizza: soil ergosterol content per soil dry mass or growth medium dry mass
1452,Root length: distance from root base to tip
1454,Root exudation: carbon (C) exudation as fraction of root carbon (C) growth
1455,Root exudation: carbon (C) exudation as fraction of root dry mass
1465,Root ammonium (NH4+) uptake rate per root fresh mass
1466,Root nitrogen (N) uptake per ground area per year
1472,"Root nitrogen (N) uptake preference: ammonium (NH4+), nitrate (NO3-), organic nitrogen (N)"
1476,Root hydraulic conductivity
1479,Root water uptake rate per root length
1480,Root water uptake rate per soil volume per hour
1481,Plant carbon (C) allocation: aboveground/belowground net primary production (NPP) ratio
1482,Root dry mass to leaf dry mass ratio
1486,Root dry mass fraction in respective root diameter class
1487,Root dry mass fraction in respective root order
1489,Root length fraction in respective root diameter class (e.g. fine root length per total root length;
1491,Root surface area fraction in respective root order
1495,Root species abundance: fraction of total root dry mass composed of respective species
1498,Root carbon (C) content per ground area
1501,Root necromass (dead dry mass) per ground area for specified soil depth increment
1502,Root nitrogen (N) per ground area
1506,Root length fraction belonging to species
1507,Root length density (RLD): root length per ground area
1508,Root length per soil volume
1509,Plant biomass and allometry: Root length per plant
1510,Root length per minirhizotron screen area
1512,Root rooting depth: fraction of root dry mass contained in depth interval
1513,Root necromass to biomass ratio
1514,Root tip fraction in diameter class
1515,Root length per length of higher order root (root branching architecture)
1517,Root cross-sectional area ratio of stele to cortex
1519,Root debris decomposition rate constant 
1521,Coarse root rooting depth
1525,Coarse root tissue density (coarse root dry mass per coarse root volume)
1526,Coarse root diameter
1527,Coarse root carbon (C) content per coarse root dry mass
1528,Coarse root lignin content per coarse root dry mass
1529,Coarse root cellulose content per coarse root dry mass
1534,Plant biomass and allometry: Coarse root mass fraction (fraction of coarse root dry mass per whole p
1535,Coarse root respiration rate per coarse root dry mass
1536,Coarse root total non-structural carbon (TNC) content per coarse root dry mass
1544,Coarse root calcium (Ca) content per coarse root dry mass
1545,Coarse root carbon/nitrogen (C/N) ratio
1550,"Coarse root length per coarse root dry mass (specific coarse root length, SRL)"
1557,Coarse root surface area per coarse root dry mass (specific coarse root area)
1559,Coarse root manganese (Mn) content per coarse root dry mass
1560,Coarse root silicon (Si) content per coarse root dry mass
1563,Coarse root cortex thickness
1568,Coarse root stele fraction: stele diameter divided by coarse root diameter
1569,Coarse root stele diameter
1570,Coarse root cross-sectional fraction of stele area to coarse root area
1575,Coarse root xylem vessel density in stele: number of xylem vessels per square millimeter of coarse r
1577,Coarse root conduit diameter
1598,Coarse root hemicellulose content per coarse root dry mass
1599,Coarse root cellulose and hemicellulose content per coarse root dry mass
1605,Coarse root Cl- ion content per coarse root dry mass
1606,Coarse root sodium (Na+) ion content per coarse root dry mass
1609,Coarse root arabinans content per coarse root dry mass
1611,Coarse root bound phenol content per coarse root carbon (C) content
1612,Coarse root cinnamyl phenol content per coarse root carbon (C) content
1613,Coarse root ethanol soluble compounds per coarse root dry mass
1614,Coarse root free phenols content per coarse root carbon (C) content
1615,Coarse root galactans content per coarse root dry mass
1616,Coarse root lignin phenol content per coarse root carbon (C) content
1619,Coarse root mannans content per coarse root dry mass
1622,Coarse root carbon (C) content not hydrolyzable in acid extractives per coarse root carbon (C) conte
1624,Coarse root p-hydroxy phenol content per coarse root carbon (C) content
1625,Coarse root 12 phenol content per coarse root carbon (C) content
1628,Coarse root rhamnans content per coarse root dry mass
1630,Coarse root syringyl phenol content per coarse root carbon (C) content
1632,Coarse root vanillyl phenol content per coarse root carbon (C) content
1633,Coarse root water or ethanol soluble compounds per coarse root dry mass
1634,Coarse root water soluble compounds per coarse root dry mass
1636,Coarse root xylans content per coarse root dry mass
1637,Coarse root ratio of number of acid groups to number of aldehyde groups in syringyl phenols
1638,Coarse root ratio of number of acid groups to number of aldehyde groups in vanillyl phenols
1639,"Coarse root ratio of 3,5-dihydroxybenzoic acid groups to vanillyl phenols"
1641,Coarse root ratio of of cinnamyl phenol to vanillyl phenol
1645,Coarse root ratio of of syringyl phenol to vanillyl phenol
1646,Coarse root ratio of vanillyl phenol to lignin phenol
1653,Coarse root decomposition: fraction of coarse root dry mass not decomposed to original coarse root d
1658,Coarse root lifespan: fraction of coarse roots that live to the age in “coarse root age”
1664,Coarse root mortality: coarse root dry mass mortality per ground area and time
1675,Coarse root growth: coarse root carbon (C) production per ground area and time
1676,Coarse root growth: coarse root dry mass production per ground area per year
1678,Coarse root growth: coarse root dry mass production per ground area per duration of exposition
1679,Coarse root growth: coarse root dry mass production per ground area per day
1681,Coarse root growth: fraction of coarse root number that has elongated since last measurement to tota
1682,Coarse root growth: coarse root elongation
1685,Coarse root growth: coarse root length production per ground area per year
1694,Coarse root growth: coarse root surface area produced per ground area per year
1698,Coarse root dry mass turnover
1699,Coarse root dry mass turnover rate
1718,Coarse root length: distance from coarse root base to tip
1732,Coarse root nitrogen (N) uptake per ground area per year
1747,Coarse root dry mass to leaf dry mass ratio
1750,Coarse root dry mass fraction in respective root diameter class
1751,Coarse root dry mass fraction in respective root order
1752,Coarse root length fraction in respective root diameter class
1754,Coarse root surface area fraction in respective root order
1757,Coarse root dry mass per soil volume
1759,Coarse root density on screen: number of coarse roots per area of in-growth screen
1761,Coarse root carbon (C) content per ground area
1762,Coarse root necromass (dead dry mass) per ground area for specified soil depth increment
1768,Coarse root length density (RLD): coarse root length per ground area
1769,Coarse root length per soil volume
1772,Coarse root volume per ground area
1773,Coarse root rooting depth: fraction of coarse root dry mass contained in depth interval
1774,Coarse root necromass to biomass ratio
1775,Coarse root debris decomposition rate constant 
1776,Coarse root lignin phenol vegetation index
1777,Fine root rooting depth
1778,Fine root/shoot ratio
1781,Fine root tissue density (fine root dry mass per fine root volume)
1784,Fine root lignin content per fine root dry mass
1785,Fine root cellulose content per fine root dry mass
1786,Fine root porosity (volume of root air space)
1791,Fine root respiration rate per fine root dry mass
1792,Fine root total non-structural carbon (TNC) content per fine root dry mass
1795,Fine root dry mass per ground area
1797,Fine root aluminium (Al) content per fine root dry mass
1798,Fine root arsenic (As) content per fine root dry mass
1799,Fine root cadmium (Cd) content per fine root dry mass
1800,Fine root calcium (Ca) content per fine root dry mass
1802,Fine root chromium (Cr) content per fine root dry mass
1803,Fine root copper (Cu) content per fine root dry mass
1804,Fine root iron (Fe) content per fine root dry mass
1805,Fine root lead (Pb) content per fine root dry mass
1807,Fine root magnesium (Mg) content per fine root dry mass
1808,Fine root nickel (Ni) content per fine root dry mass
1809,"Fine root persistence (lifespan, longevity)"
1810,Fine root potassium (K) content per fine root dry mass
1811,Fine root sodium (Na) content per fine root dry mass
1812,Fine root sulfur (S) content per fine root dry mass
1813,Fine root surface area per fine root dry mass (specific fine root area)
1814,Fine root zinc (Zn) content per fine root dry mass
